State,Crop_Type,Records,Avg_Yield,Avg_Market_Price,Avg_Revenue,Avg_Profit,Avg_Profit_per_Ha
Karnataka,Barley,125,4.43584,37061.106719999996,368529175.32858896,132629.296,59.55390057809635
Karnataka,Cotton,114,5.1626315789473685,37301.46807017544,465244486.4648894,164986.52631578947,64.92101755536802
Karnataka,Maize,123,4.6189430894308945,37049.89991869919,452811067.59248596,158152.61788617886,60.24576497444161
Karnataka,Millets,120,4.9945,40391.69783333333,548038031.9376949,166306.11666666667,65.22008002420368
Karnataka,Pulses,119,4.965882352941177,38126.06848739496,485028152.3531217,175834.0588235294,65.67829642515534
Karnataka,Rice,140,4.717642857142858,36871.048428571434,418198717.4728259,145590.5,60.96729154771048
Karnataka,Sugarcane,125,4.815519999999999,38496.08408,464947919.6706815,157617.744,62.13429063810917
Karnataka,Wheat,124,4.767822580645162,39688.03548387097,473203930.64727145,152333.87903225806,60.69581277124752
Maharashtra,Barley,141,4.550425531914894,36241.649219858155,387498071.0900448,139135.53191489363,60.20303192893728
Maharashtra,Cotton,132,4.816515151515151,36586.32787878788,436949193.8898602,156100.1590909091,63.30523032040708
Maharashtra,Maize,117,4.547435897435897,38647.284529914534,437377313.48797846,151334.10256410256,59.166835840922296
Maharashtra,Millets,129,5.028372093023256,37658.38403100775,497202219.8154467,171994.55813953487,66.79999960212463
Maharashtra,Pulses,106,4.619150943396226,37890.17481132075,442240073.7126622,147478.5283018868,59.53213864837278
Maharashtra,Rice,136,4.9718382352941175,38334.01272058824,467990255.03266954,164030.1838235294,64.2815928125766
Maharashtra,Sugarcane,114,4.804210526315789,36719.22228070175,488770762.12708986,167248.07894736843,61.05943018011475
Maharashtra,Wheat,115,4.443478260869565,39899.745130434785,481183716.3303005,152981.8347826087,58.360835107446206
Punjab,Barley,128,5.096484375,39669.341171875,542753455.1583426,173859.4453125,65.93957970245116
Punjab,Cotton,130,4.607538461538462,35156.89446153846,378001512.4137959,148276.25384615385,61.83135692654864
Punjab,Maize,134,4.69089552238806,39373.835447761194,509281118.8584353,172617.20895522388,60.7436274787896
Punjab,Millets,122,4.765983606557377,36702.62598360656,451388062.6007959,164167.55737704918,61.17641533541974
Punjab,Pulses,125,4.66664,38751.50872,455135548.4888382,152933.304,61.9493789542042
Punjab,Rice,113,5.156991150442478,35461.63309734513,477246461.66936344,180245.41592920353,66.96045718471447
Punjab,Sugarcane,111,5.286666666666667,38716.82846846847,544247428.912048,173915.2972972973,67.7810373121109
Punjab,Wheat,127,4.8546456692913385,38076.45165354331,512436321.3955348,163965.5039370079,61.328941250766114
Rajasthan,Barley,136,4.920514705882352,40021.754411764705,536003201.5224598,173996.98529411765,62.84657670820675
Rajasthan,Cotton,121,4.652561983471075,39648.23305785124,435486892.662233,137730.65289256198,59.59639096831871
