State,Crop_Type,Avg_Yield,Avg_Fertilizer,Avg_Pesticide,Avg_Profit_per_Ha,Avg_Rainfall,Avg_Temperature
Karnataka,Barley,4.43584,248.35416,32.391040000000004,59.55390057809635,1353.54096,26.9168
Karnataka,Cotton,5.1626315789473685,247.15157894736842,31.05798245614035,64.92101755536802,1322.8525438596491,27.87982456140351
Karnataka,Maize,4.6189430894308945,252.09113821138212,33.8909756097561,60.24576497444161,1357.2476422764228,28.634146341463413
Karnataka,Millets,4.9945,246.5565,31.91916666666667,65.22008002420368,1257.9638333333335,28.111666666666668
Karnataka,Pulses,4.965882352941177,269.2612605042017,33.69252100840336,65.67829642515534,1277.5225210084034,27.415966386554622
Karnataka,Rice,4.717642857142858,243.7957857142857,29.827428571428573,60.96729154771048,1284.0477857142857,27.13357142857143
Karnataka,Sugarcane,4.815519999999999,259.892,33.307199999999995,62.13429063810917,1265.02608,28.3352
Karnataka,Wheat,4.767822580645162,264.13443548387096,32.299516129032256,60.69581277124752,1311.328629032258,29.676612903225806
Maharashtra,Barley,4.550425531914894,242.4723404255319,34.44914893617021,60.20303192893728,1281.5868085106383,28.336170212765957
Maharashtra,Cotton,4.816515151515151,249.81212121212118,32.52909090909091,63.30523032040708,1269.910909090909,28.2
Maharashtra,Maize,4.547435897435897,245.44649572649573,34.133162393162394,59.166835840922296,1358.1078632478632,27.659829059829057
Maharashtra,Millets,5.028372093023256,251.01883720930232,27.702558139534883,66.79999960212463,1303.6841085271317,27.878294573643412
Maharashtra,Pulses,4.619150943396226,245.78660377358491,32.68443396226415,59.53213864837278,1310.9240566037738,27.670754716981133
Maharashtra,Rice,4.9718382352941175,265.4254411764706,31.54727941176471,64.2815928125766,1272.0627941176472,28.588970588235295
Maharashtra,Sugarcane,4.804210526315789,253.9521052631579,35.162368421052626,61.05943018011475,1377.6351754385964,28.322807017543862
Maharashtra,Wheat,4.443478260869565,252.49608695652174,34.02852173913044,58.360835107446206,1295.3193913043478,27.824347826086957
Punjab,Barley,5.096484375,261.293984375,31.9653125,65.93957970245116,1335.501875,28.434375
Punjab,Cotton,4.607538461538462,262.75938461538465,35.34961538461538,61.83135692654864,1278.760076923077,27.19923076923077
Punjab,Maize,4.69089552238806,258.02970149253736,31.65783582089552,60.7436274787896,1321.7588059701493,27.738805970149254
Punjab,Millets,4.765983606557377,241.1432786885246,33.64885245901639,61.17641533541974,1317.7046721311476,27.911475409836065
Punjab,Pulses,4.66664,250.83576000000002,32.992,61.9493789542042,1299.64696,28.408
Punjab,Rice,5.156991150442478,254.16407079646018,32.6858407079646,66.96045718471447,1329.2665486725664,28.746017699115047
Punjab,Sugarcane,5.286666666666667,255.72414414414416,32.08045045045045,67.7810373121109,1349.402072072072,26.396396396396398
Punjab,Wheat,4.8546456692913385,273.226062992126,32.606377952755906,61.328941250766114,1282.1940157480317,27.892913385826773
Rajasthan,Barley,4.920514705882352,240.15926470588235,34.331691176470585,62.84657670820675,1266.7263970588235,28.561029411764707
Rajasthan,Cotton,4.652561983471075,255.76289256198348,33.81297520661157,59.59639096831871,1323.022644628099,28.149586776859504
Rajasthan,Maize,4.516992481203007,238.30105263157895,33.67796992481203,57.23535077465858,1314.46984962406,27.66842105263158
Rajasthan,Millets,4.919911504424779,244.57858407079647,30.376814159292035,63.166636359001984,1336.0538938053096,28.825663716814162
Rajasthan,Pulses,4.47155737704918,249.76106557377048,32.16508196721311,56.97167044962405,1312.9620491803278,27.99344262295082
Rajasthan,Rice,4.904529914529915,235.5999145299145,30.86811965811966,67.0664915607151,1193.7647863247864,28.995726495726494
Rajasthan,Sugarcane,4.810367647058824,247.34404411764706,33.32448529411765,62.56505624197602,1283.5515441176472,27.76029411764706
Rajasthan,Wheat,4.496875,244.74973214285714,33.15392857142857,59.940138220761064,1325.485892857143,27.686607142857145
Tamil Nadu,Barley,5.060819672131148,247.0565573770492,32.05049180327869,65.98764988096507,1205.9704918032787,28.650000000000002
Tamil Nadu,Cotton,4.750347826086956,253.64069565217392,36.20704347826087,62.49713759218178,1384.1414782608695,27.50086956521739
Tamil Nadu,Maize,4.924326923076923,241.00201923076924,34.82817307692308,64.83773317085314,1328.2633653846153,28.616346153846152
Tamil Nadu,Millets,4.902406015037593,247.40481203007516,30.854812030075184,61.765201685561756,1285.9239097744362,28.54285714285714
Tamil Nadu,Pulses,4.841709401709402,256.4582051282051,31.55034188034188,62.12538943499395,1391.2699145299143,29.347008547008546
Tamil Nadu,Rice,4.714965517241379,242.28158620689658,30.49310344827586,63.51984045120233,1286.136551724138,28.51448275862069
Tamil Nadu,Sugarcane,5.072608695652174,264.08704347826085,31.862260869565215,66.31191224382968,1316.5612173913044,28.626956521739128
Tamil Nadu,Wheat,4.6665467625899275,249.35294964028776,32.642877697841726,58.51818715031525,1331.5127338129496,28.441726618705037
Uttar Pradesh,Barley,4.842413793103448,255.58158620689656,32.66944827586207,62.89632660167423,1280.6315172413795,27.607586206896553
Uttar Pradesh,Cotton,4.905785123966942,255.9404958677686,30.114710743801655,65.90239179149073,1305.1852066115703,27.567768595041322
Uttar Pradesh,Maize,4.8030357142857145,237.4975,32.591249999999995,61.71124945445139,1309.5125892857143,27.838392857142857
Uttar Pradesh,Millets,4.591081081081081,237.87486486486486,34.08549549549549,59.74337910528919,1348.1835135135134,28.47117117117117
Uttar Pradesh,Pulses,5.196756756756757,259.42756756756756,31.534504504504504,67.46108053691502,1285.0724324324326,27.927027027027027
Uttar Pradesh,Rice,4.8362878787878785,259.2994696969697,31.34151515151515,62.93375226599977,1382.8936363636362,28.354545454545455
Uttar Pradesh,Sugarcane,4.782542372881356,239.54288135593222,32.743983050847454,60.5598008821751,1326.3621186440678,28.59576271186441
Uttar Pradesh,Wheat,5.1105,237.2725,32.98714285714286,66.0504381804296,1275.9637142857143,27.155714285714286
Uttarakhand,Barley,4.754146341463414,236.94617886178864,33.25243902439025,61.64479479527452,1343.7462601626016,28.20569105691057
Uttarakhand,Cotton,4.796535433070866,265.042125984252,31.47677165354331,62.33727798010457,1309.1870866141733,27.788976377952753
Uttarakhand,Maize,4.855357142857143,254.1078571428571,33.214821428571426,64.68304742503967,1326.3977678571428,27.67142857142857
Uttarakhand,Millets,4.714031007751938,242.0577519379845,31.26589147286822,59.53545516857729,1314.3700000000001,27.827131782945735
Uttarakhand,Pulses,4.86139534883721,247.9484496124031,32.14387596899225,62.59737284635197,1333.616899224806,27.964341085271318
Uttarakhand,Rice,5.0563199999999995,253.5224,34.759440000000005,64.86434223051474,1248.58792,28.4496
Uttarakhand,Sugarcane,4.921504424778761,248.3946902654867,34.58176991150442,65.6990124436997,1252.3608849557522,28.0212389380531
Uttarakhand,Wheat,5.178636363636364,247.98189393939396,30.502803030303028,67.08040730628535,1306.152575757576,28.180303030303033
West Bengal,Barley,5.03425,251.53491666666665,29.5005,67.61891574625909,1245.3016666666667,27.543333333333333
West Bengal,Cotton,4.833923076923076,247.15215384615385,32.51892307692308,62.85410364941429,1219.1332307692307,27.806923076923077
West Bengal,Maize,4.926330275229358,253.53394495412846,34.1994495412844,63.73469242188706,1201.7973394495414,27.38348623853211
West Bengal,Millets,4.685153846153846,246.8382307692308,31.240384615384617,60.27462002498584,1333.7971538461538,28.036923076923078
West Bengal,Pulses,4.967251908396947,249.78114503816795,31.906030534351142,62.10140397982528,1303.3851908396946,28.4206106870229
West Bengal,Rice,4.803671875,242.923046875,32.331640625,62.02464035111907,1309.134765625,28.6234375
West Bengal,Sugarcane,4.854552845528455,244.12520325203252,33.30975609756098,63.13002042171195,1246.5752845528457,27.771544715447156
West Bengal,Wheat,5.0615966386554625,254.0303361344538,36.298655462184875,65.9616290741265,1333.5986554621848,28.154621848739495
