State,District,Records,Avg_Rainfall_mm,Avg_Temperature_C,Avg_Humidity_percent,Avg_Yield_ton_per_ha,Avg_Profit_INR
Karnataka,Belagavi,198,1350.1423737373736,28.502525252525253,61.42727272727273,4.86479797979798,159384.36363636365
Karnataka,Bengaluru,198,1374.0463636363636,26.613636363636363,63.52121212121212,4.6338888888888885,148297.0
Karnataka,Hubli,198,1269.478282828283,28.105555555555554,60.87171717171717,4.9365151515151515,171285.18181818182
Karnataka,Mangalore,198,1274.365909090909,28.412121212121214,63.229292929292924,4.6887878787878785,144571.71212121213
Karnataka,Mysuru,198,1249.2388383838384,28.372727272727275,61.0439393939394,4.891414141414141,157750.5
Maharashtra,Aurangabad,198,1281.459797979798,28.67727272727273,61.38535353535353,4.58010101010101,166189.91919191918
Maharashtra,Kolhapur,198,1280.1067676767675,27.5,63.59848484848485,4.5656060606060604,151765.0
Maharashtra,Nagpur,198,1330.9433838383836,28.2020202020202,63.21010101010101,4.61070707070707,147525.6616161616
Maharashtra,Nashik,198,1309.0565656565657,28.186363636363634,60.5989898989899,4.545404040404041,152612.20707070708
Maharashtra,Pune,198,1330.6379292929294,27.838888888888892,61.25909090909091,5.347575757575758,163304.88888888888
Punjab,Amritsar,198,1279.7636868686868,27.470202020202024,61.53787878787879,4.906868686868687,175126.84848484848
Punjab,Bathinda,198,1373.6670202020202,28.267171717171717,61.97424242424242,4.9771212121212125,167705.25252525252
Punjab,Jalandhar,198,1308.5783838383838,28.32070707070707,63.47525252525253,5.056717171717172,170585.80808080808
Punjab,Ludhiana,198,1324.3911616161618,27.324242424242424,62.547474747474745,4.51040404040404,147166.75252525252
Punjab,Patiala,198,1280.9934848484847,27.857070707070704,61.31111111111111,4.946818181818182,169221.81313131313
Rajasthan,Ajmer,198,1266.3631313131314,28.513131313131314,64.28080808080809,4.797272727272727,160468.88888888888
Rajasthan,Jaipur,198,1326.5898484848483,27.9979797979798,65.26616161616163,4.5917676767676765,143726.21717171717
Rajasthan,Jodhpur,198,1287.8342424242423,27.834343434343435,63.07727272727272,4.9623737373737375,177939.15151515152
Rajasthan,Kota,198,1287.3542929292928,28.485353535353536,63.53989898989899,4.562020202020202,151747.9595959596
Rajasthan,Udaipur,198,1301.6988383838384,28.136868686868688,62.80909090909091,4.652626262626263,152843.64646464647
Tamil Nadu,Chennai,198,1344.495202020202,28.307070707070707,62.408080808080804,4.802373737373737,157033.13636363635
Tamil Nadu,Coimbatore,198,1195.3347474747475,28.2489898989899,63.76919191919192,4.681212121212122,155803.60606060605
Tamil Nadu,Madurai,198,1268.853080808081,28.9510101010101,61.736363636363635,5.099393939393939,172674.30808080808
Tamil Nadu,Salem,198,1341.4912121212121,28.258585858585857,60.970202020202024,4.87489898989899,156898.5202020202
Tamil Nadu,Tiruchirappalli,198,1421.6698484848484,28.880303030303033,60.990404040404044,4.835101010101011,155491.9292929293
Uttar Pradesh,Agra,198,1386.3391414141415,28.14242424242424,61.67474747474748,4.940454545454545,163912.34343434343
Uttar Pradesh,Kanpur,198,1329.3237878787877,27.435353535353535,64.4969696969697,4.768434343434343,159233.24747474748
Uttar Pradesh,Lucknow,198,1284.08398989899,27.59646464646465,62.14949494949495,5.126414141414141,178073.33333333334
Uttar Pradesh,Meerut,198,1256.475505050505,28.264646464646464,63.58030303030303,4.918636363636364,153391.05050505052
Uttar Pradesh,Varanasi,198,1310.764494949495,28.135858585858585,62.25555555555556,4.682121212121212,173788.7323232323
Uttarakhand,Almora,198,1337.4650000000001,28.582323232323233,63.03232323232323,5.138434343434343,175521.1313131313
Uttarakhand,Dehradun,198,1259.2820202020202,28.515151515151516,63.032828282828284,5.015000000000001,152084.11616161617
Uttarakhand,Haridwar,198,1322.9561616161616,28.18838383838384,62.61818181818182,4.696565656565657,158699.60606060605
Uttarakhand,Nainital,198,1313.7891414141413,27.573737373737377,61.14090909090909,4.673080808080808,151896.4292929293
Uttarakhand,Pauri,198,1290.22898989899,27.227272727272727,62.70151515151515,4.94510101010101,160956.9696969697
West Bengal,Darjeeling,198,1293.465404040404,28.15050505050505,62.38282828282828,4.9944444444444445,154738.0404040404
West Bengal,Howrah,198,1276.118585858586,27.932323232323235,60.933838383838385,4.968030303030303,161284.64141414143
West Bengal,Kolkata,198,1292.7513131313133,27.677777777777777,62.448484848484846,4.829191919191919,155408.72727272726
West Bengal,Malda,198,1242.070101010101,27.91262626262626,62.89393939393939,4.9340909090909095,174808.2373737374
West Bengal,Siliguri,198,1272.628787878788,28.24040404040404,63.49393939393939,4.736767676767677,176281.30808080808
