Year,Records,Avg_Rainfall_mm,Avg_Temperature_C,Avg_Humidity_percent,Avg_Yield_ton_per_ha,Avg_Profit_INR
2014,720,1286.8730138888889,28.089444444444446,62.08763888888889,4.816736111111111,155509.33194444445
2015,720,1347.5803472222221,28.250416666666666,62.32763888888889,4.8445277777777775,162248.3763888889
2016,720,1320.6761250000002,27.69777777777778,61.11,4.845444444444444,165376.64305555556
2017,720,1304.6294861111112,27.899861111111115,63.08972222222222,4.970069444444444,159572.2625
2018,720,1307.7978472222221,28.313750000000002,61.75236111111111,4.8289583333333335,163759.40694444443
2019,720,1293.0395833333334,28.123055555555553,62.723333333333336,4.899527777777777,156139.125
2020,720,1311.3474999999999,27.941944444444445,62.11236111111111,4.970902777777778,164541.6625
2021,720,1273.9405833333333,28.28527777777778,62.53125,4.753222222222222,164680.18055555556
2022,720,1282.8010833333333,28.16847222222222,63.62361111111111,4.846333333333334,163959.70138888888
2023,720,1290.732625,28.369305555555556,63.224444444444444,4.690611111111111,159919.4347222222
2024,720,1315.3134305555557,27.641527777777778,62.55319444444445,4.6880138888888885,151773.3763888889
